
SPEAKER 3	0:00:00	0:00:03
SPEAKER 2	0:00:03	0:01:19
SPEAKER 3	0:01:19	0:01:24
SPEAKER 2	0:01:24	0:01:25
SPEAKER 3	0:01:25	0:01:34
SPEAKER 2	0:01:34	0:02:47
SPEAKER 3	0:02:48	0:02:53
SPEAKER 2	0:02:53	0:03:47
SPEAKER 3	0:03:47	0:03:49
SPEAKER 2	0:03:49	0:04:39
SPEAKER 3	0:04:39	0:04:56
SPEAKER 2	0:04:57	0:05:07
SPEAKER 3	0:05:07	0:05:19
SPEAKER 2	0:05:19	0:06:00
SPEAKER 3	0:06:00	0:06:02
SPEAKER 2	0:06:02	0:06:29
SPEAKER 3	0:06:29	0:06:43
SPEAKER 2	0:06:43	0:07:01
SPEAKER 3	0:07:02	0:07:27
SPEAKER 2	0:07:27	0:10:15
SPEAKER 3	0:10:16	0:10:19
SPEAKER 2	0:10:19	0:12:05
SPEAKER 3	0:12:05	0:12:14
SPEAKER 2	0:12:14	0:12:34
SPEAKER 3	0:12:34	0:12:36
SPEAKER 2	0:12:36	0:13:01
SPEAKER 3	0:13:01	0:13:03
SPEAKER 2	0:13:03	0:14:33
SPEAKER 3	0:14:33	0:14:35
SPEAKER 2	0:14:35	0:15:42
SPEAKER 3	0:15:44	0:15:49
SPEAKER 2	0:15:49	0:16:12
SPEAKER 3	0:16:12	0:16:14
SPEAKER 2	0:16:14	0:17:33
SPEAKER 3	0:17:34	0:17:46
SPEAKER 2	0:17:46	0:18:33
SPEAKER 3	0:18:33	0:18:54
SPEAKER 2	0:18:54	0:19:02
SPEAKER 3	0:19:02	0:19:12
SPEAKER 2	0:19:13	0:22:02
SPEAKER 3	0:22:03	0:22:06
SPEAKER 2	0:22:06	0:25:31
SPEAKER 3	0:25:31	0:25:34
SPEAKER 2	0:25:34	0:25:58
SPEAKER 3	0:25:58	0:25:59
SPEAKER 2	0:25:59	0:27:10
SPEAKER 3	0:27:10	0:27:14
SPEAKER 2	0:27:14	0:28:21
SPEAKER 3	0:28:21	0:28:24
SPEAKER 2	0:28:24	0:28:45
SPEAKER 3	0:28:45	0:28:47
SPEAKER 2	0:28:48	0:30:27
SPEAKER 3	0:30:27	0:30:38
SPEAKER 2	0:30:38	0:30:43
SPEAKER 3	0:30:43	0:30:53
SPEAKER 2	0:30:53	0:32:09
SPEAKER 3	0:32:09	0:32:15
SPEAKER 2	0:32:15	0:33:40
SPEAKER 3	0:33:40	0:33:50
SPEAKER 2	0:33:50	0:34:53
SPEAKER 3	0:34:53	0:34:54
SPEAKER 2	0:34:54	0:35:49
SPEAKER 3	0:35:49	0:35:56
SPEAKER 2	0:35:56	0:37:14
SPEAKER 3	0:37:14	0:37:19
SPEAKER 2	0:37:19	0:37:48
SPEAKER 3	0:37:48	0:37:50
SPEAKER 2	0:37:50	0:39:45
SPEAKER 3	0:39:46	0:39:47
SPEAKER 2	0:39:47	0:41:03
SPEAKER 3	0:41:04	0:41:06
SPEAKER 2	0:41:07	0:42:33
SPEAKER 3	0:42:33	0:42:45
SPEAKER 2	0:42:45	0:44:13
SPEAKER 3	0:44:13	0:44:14
SPEAKER 2	0:44:17	0:45:31
SPEAKER 3	0:45:32	0:45:37
SPEAKER 2	0:45:37	0:45:47
SPEAKER 1	0:46:18	0:54:55
